id,id_artiste,date,nombre_ecoutes,plateforme
205,27,2024-07-27,11294,Deezer
206,27,2024-09-02,6870,Spotify
207,13,2024-09-24,14891,Spotify
208,6,2024-06-30,11153,Apple Music
209,24,2024-07-03,10487,YouTube Music
210,29,2024-07-02,13287,Apple Music
211,13,2024-09-24,3589,Deezer
212,25,2024-07-18,2235,Apple Music
213,17,2024-09-03,11023,Apple Music
214,16,2024-06-02,10289,Deezer
215,19,2024-06-29,12388,YouTube Music
216,26,2024-07-10,11135,Apple Music
217,8,2024-09-08,1164,Apple Music
218,14,2024-07-08,5011,Apple Music
219,5,2024-08-14,11382,Apple Music
220,5,2024-08-12,5097,Deezer
221,1,2024-06-27,14006,Spotify
222,18,2024-06-27,4239,Deezer
223,8,2024-09-24,1351,Spotify
224,10,2024-09-14,2316,Spotify
225,1,2024-08-09,5947,YouTube Music
226,6,2024-08-25,4988,YouTube Music
227,6,2024-06-21,5117,Deezer
228,18,2024-09-19,3816,YouTube Music
229,6,2024-07-06,10666,Apple Music
230,4,2024-09-01,1285,Deezer
231,5,2024-06-22,11999,Spotify
232,18,2024-06-21,6218,Deezer
233,29,2024-09-15,9473,Spotify
234,21,2024-08-30,6487,Deezer
235,7,2024-07-18,2048,Deezer
236,26,2024-09-17,10490,Spotify
237,27,2024-06-17,10573,Deezer
238,6,2024-07-27,11826,Spotify
239,18,2024-06-06,3531,YouTube Music
240,1,2024-08-30,10246,Deezer
241,10,2024-07-19,12003,Apple Music
242,21,2024-09-11,3962,Spotify
243,11,2024-07-31,5725,Spotify
244,24,2024-06-15,2442,Apple Music
245,12,2024-08-07,1466,YouTube Music
246,12,2024-06-19,10467,Spotify
247,30,2024-08-24,10585,Apple Music
248,14,2024-07-16,9838,Apple Music
249,17,2024-08-14,3051,YouTube Music
250,6,2024-09-19,3315,YouTube Music
251,2,2024-07-26,4400,Spotify
252,2,2024-07-21,5806,YouTube Music
253,14,2024-07-15,12197,Apple Music
254,8,2024-06-22,14593,YouTube Music
255,27,2024-07-15,5764,Deezer
256,3,2024-06-14,10361,YouTube Music
257,21,2024-09-01,6861,Spotify
258,19,2024-09-03,3598,YouTube Music
259,16,2024-07-20,6969,Deezer
260,20,2024-06-12,1301,YouTube Music
261,1,2024-09-28,11447,Deezer
262,24,2024-07-13,10728,Spotify
263,16,2024-07-03,10150,Deezer
264,25,2024-06-28,11996,Deezer
265,3,2024-09-29,520,Apple Music
266,12,2024-07-11,2123,YouTube Music
267,19,2024-07-25,6791,Apple Music
268,2,2024-07-14,2383,Spotify
269,27,2024-09-05,8885,YouTube Music
270,24,2024-08-14,3801,Deezer
271,14,2024-09-23,9882,Apple Music
272,2,2024-06-13,9856,Deezer
273,4,2024-07-14,235,Apple Music
274,2,2024-06-14,2101,YouTube Music
275,5,2024-06-11,4708,Spotify
276,26,2024-06-02,12214,YouTube Music
277,3,2024-07-05,3904,Deezer
278,25,2024-08-27,11307,Apple Music
279,7,2024-09-12,5191,YouTube Music
280,16,2024-07-18,1069,YouTube Music
281,21,2024-06-23,7629,YouTube Music
282,22,2024-09-28,6809,Deezer
283,25,2024-09-27,6827,Apple Music
284,5,2024-06-20,1804,Deezer
285,6,2024-07-25,303,YouTube Music
286,28,2024-09-18,2159,Spotify
287,14,2024-09-20,2413,Spotify
288,6,2024-09-12,12300,Apple Music
289,24,2024-06-16,2124,YouTube Music
290,2,2024-08-23,11399,Spotify
291,11,2024-09-01,9103,Spotify
292,13,2024-09-12,11758,YouTube Music
293,17,2024-07-07,4387,Spotify
294,19,2024-06-18,10872,Deezer
295,13,2024-08-08,6888,Deezer
296,20,2024-09-28,1008,Deezer
297,8,2024-09-19,1108,Apple Music
298,20,2024-09-08,10490,Deezer
299,9,2024-06-17,6430,Deezer
300,10,2024-09-01,10373,Apple Music
301,8,2024-06-21,5120,YouTube Music
302,13,2024-09-05,12269,Apple Music
303,11,2024-06-09,1920,Deezer
304,9,2024-08-16,10369,YouTube Music
305,10,2024-07-20,5876,Deezer
306,15,2024-07-06,3425,Deezer
307,17,2024-08-23,445,Spotify
308,21,2024-09-04,5044,YouTube Music
309,14,2024-08-14,13003,Apple Music
310,28,2024-07-09,11612,YouTube Music
311,10,2024-09-05,2075,Deezer
312,11,2024-08-12,8236,Spotify
313,7,2024-06-26,1957,Deezer
314,21,2024-09-08,3038,Spotify
315,24,2024-09-27,10295,Spotify
316,15,2024-08-23,13334,Apple Music
317,22,2024-06-18,13405,Apple Music
318,28,2024-08-05,10383,Deezer
319,24,2024-06-05,1434,Deezer
320,9,2024-07-05,10702,Spotify
321,13,2024-06-06,2350,Spotify
322,19,2024-08-09,2873,YouTube Music
323,24,2024-09-29,8267,Spotify
324,1,2024-09-18,340,Apple Music
325,17,2024-08-18,11622,Deezer
326,4,2024-06-28,10078,YouTube Music
327,1,2024-06-09,6651,YouTube Music
328,17,2024-08-20,7422,Deezer
329,4,2024-06-29,9846,Apple Music
330,15,2024-09-21,1150,YouTube Music
331,15,2024-08-01,8344,Apple Music
332,29,2024-07-01,12892,Deezer
333,21,2024-09-18,9197,Spotify
334,27,2024-07-31,5503,Deezer
335,26,2024-06-13,12658,Deezer
336,13,2024-09-16,13487,Apple Music
337,2,2024-07-28,1190,Spotify
338,27,2024-06-08,5185,Spotify
339,3,2024-07-18,5742,Spotify
340,7,2024-09-06,13595,Spotify
341,22,2024-08-18,2147,YouTube Music
342,7,2024-08-24,7998,YouTube Music
343,30,2024-06-12,5636,Spotify
344,22,2024-06-19,8369,Spotify
345,23,2024-06-17,963,Apple Music
346,15,2024-07-20,14157,Apple Music
347,15,2024-06-22,10998,Deezer
348,25,2024-06-19,4102,Deezer
349,29,2024-09-10,14465,Deezer
350,13,2024-06-29,3889,Deezer
351,2,2024-06-16,10750,Spotify
352,10,2024-07-05,9456,Spotify
353,6,2024-07-05,10067,Spotify
354,25,2024-08-30,14816,YouTube Music
355,17,2024-06-11,2734,YouTube Music
356,18,2024-08-24,2167,Spotify
357,6,2024-08-04,10055,Apple Music
358,12,2024-09-08,14423,Spotify
359,28,2024-09-29,10880,Spotify
360,28,2024-09-12,3550,Deezer
361,6,2024-07-04,11935,YouTube Music
362,22,2024-06-03,10634,Deezer
363,26,2024-07-07,14264,Deezer
364,26,2024-06-27,14067,YouTube Music
365,11,2024-06-15,13187,Spotify
366,13,2024-08-12,1418,Deezer
367,30,2024-07-04,13434,Apple Music
368,23,2024-06-18,8223,Apple Music
369,2,2024-06-23,13063,Deezer
370,7,2024-07-02,14130,YouTube Music
371,7,2024-07-13,6363,Deezer
372,23,2024-08-02,6102,Spotify
373,27,2024-07-20,209,YouTube Music
374,28,2024-08-28,4729,Deezer
375,20,2024-09-25,8096,Deezer
376,10,2024-08-12,6291,Deezer
377,13,2024-07-02,12090,Spotify
378,28,2024-07-27,2550,Apple Music
379,25,2024-09-18,1513,Deezer
380,4,2024-08-24,3577,Deezer
381,16,2024-09-16,11708,Apple Music
382,21,2024-06-06,14781,YouTube Music
383,1,2024-06-03,2583,YouTube Music
384,6,2024-08-04,10857,Deezer
385,29,2024-06-24,3634,Apple Music
386,8,2024-09-01,14327,Spotify
387,29,2024-09-09,8322,YouTube Music
388,2,2024-09-24,9736,Spotify
389,27,2024-09-12,1099,Spotify
390,1,2024-07-19,565,Spotify
391,30,2024-07-07,2954,YouTube Music
392,14,2024-06-03,890,Spotify
393,1,2024-06-24,2506,Spotify
394,19,2024-06-29,6741,Deezer
395,15,2024-07-28,8125,Apple Music
396,6,2024-07-04,13950,YouTube Music
397,20,2024-06-27,7501,YouTube Music
398,19,2024-09-20,13075,Spotify
399,26,2024-08-25,12156,Spotify
400,8,2024-09-28,9192,YouTube Music
401,1,2024-06-04,10183,YouTube Music
402,9,2024-06-22,560,Apple Music
403,4,2024-06-22,9830,Deezer
404,17,2024-06-11,10734,YouTube Music
405,30,2024-07-27,1417,Apple Music
406,6,2024-08-19,12947,Deezer
407,3,2024-08-13,13839,Apple Music
408,26,2024-07-25,6565,YouTube Music
409,20,2024-07-07,2484,Apple Music
410,25,2024-08-09,3646,Apple Music
411,25,2024-08-03,13614,Spotify
412,6,2024-06-02,1278,Deezer
413,23,2024-08-20,4180,Deezer
414,3,2024-07-29,11325,Deezer
415,5,2024-07-11,763,YouTube Music
416,24,2024-07-10,6626,Spotify
417,2,2024-07-26,3268,Spotify
418,6,2024-07-09,3121,YouTube Music
419,28,2024-06-28,7896,Spotify
420,21,2024-07-29,10437,YouTube Music
421,22,2024-08-28,3987,Deezer
422,8,2024-08-13,5070,Apple Music
423,16,2024-07-08,8366,YouTube Music
424,3,2024-06-03,1362,YouTube Music
425,28,2024-06-27,6957,Spotify
426,4,2024-06-15,11955,Spotify
427,5,2024-07-15,7630,Apple Music
428,1,2024-07-13,12547,Deezer
429,13,2024-07-18,9455,YouTube Music
430,23,2024-08-16,9025,Deezer
431,21,2024-06-15,10155,YouTube Music
432,2,2024-06-03,12361,Deezer
433,14,2024-09-26,5054,YouTube Music
434,10,2024-09-11,12488,YouTube Music
435,7,2024-07-01,9634,Spotify
436,12,2024-06-15,5263,YouTube Music
437,18,2024-06-17,1540,YouTube Music
438,17,2024-07-22,14081,Deezer
439,15,2024-07-20,3548,YouTube Music
440,6,2024-07-15,13429,Spotify
441,22,2024-06-27,444,Deezer
442,24,2024-07-23,8062,Apple Music
443,27,2024-07-17,12834,YouTube Music
444,16,2024-08-28,12166,Deezer
445,12,2024-07-03,4442,Spotify
446,23,2024-07-25,13777,Apple Music
447,20,2024-06-09,2883,Spotify
448,4,2024-07-07,13351,Deezer
449,4,2024-06-01,10632,Deezer
450,6,2024-06-27,10036,YouTube Music
451,4,2024-07-04,10090,Spotify
452,12,2024-08-06,11255,Deezer
453,26,2024-09-04,4439,Apple Music
454,7,2024-08-02,6480,Deezer
455,17,2024-06-19,2143,Apple Music
456,13,2024-08-30,8380,Deezer
457,5,2024-09-14,10748,YouTube Music
458,26,2024-09-12,4309,YouTube Music
459,7,2024-09-19,14225,Spotify
460,15,2024-06-02,4229,Apple Music
461,25,2024-08-14,3254,Apple Music
462,10,2024-07-31,9177,Apple Music
463,6,2024-08-17,4986,Deezer
464,20,2024-08-03,2796,YouTube Music
465,7,2024-09-07,9465,Deezer
466,9,2024-09-09,11952,Deezer
467,20,2024-08-12,3599,Deezer
468,11,2024-07-14,4423,Deezer
469,27,2024-06-20,9375,Spotify
470,26,2024-07-28,3757,YouTube Music
471,24,2024-09-28,5247,YouTube Music
472,11,2024-06-10,14882,Apple Music
473,15,2024-09-02,11846,Apple Music
474,13,2024-09-23,13997,Deezer
475,4,2024-07-30,8156,Deezer
476,29,2024-06-29,6178,Deezer
477,27,2024-09-18,11448,Deezer
478,15,2024-07-07,5184,Apple Music
479,13,2024-09-16,9708,Deezer
480,23,2024-09-20,3568,Apple Music
481,19,2024-08-29,7634,Apple Music
482,6,2024-08-28,7282,Spotify
483,17,2024-09-18,11596,Deezer
484,25,2024-07-16,8431,Deezer
485,22,2024-06-03,12942,Deezer
486,27,2024-08-01,1147,Apple Music
487,23,2024-08-18,6366,Spotify
488,16,2024-08-28,1690,YouTube Music
489,5,2024-08-12,1074,Spotify
490,5,2024-09-11,12856,Deezer
491,9,2024-07-30,5141,Spotify
492,18,2024-08-01,999,Spotify
493,25,2024-06-26,5050,YouTube Music
494,23,2024-06-06,10180,Apple Music
495,19,2024-07-04,8435,YouTube Music
496,28,2024-06-02,257,Deezer
497,1,2024-08-20,2864,Apple Music
498,4,2024-07-13,284,Deezer
499,29,2024-08-12,4849,Spotify
500,26,2024-09-01,8377,Spotify
501,5,2024-06-09,10668,Apple Music
502,22,2024-07-16,5730,Apple Music
503,20,2024-08-07,5529,Deezer
504,28,2024-08-15,14211,Deezer
505,18,2024-09-07,6756,YouTube Music
506,26,2024-09-22,4336,YouTube Music
507,12,2024-07-14,493,Spotify
508,12,2024-08-22,10489,YouTube Music
509,20,2024-07-17,8259,Deezer
510,23,2024-09-22,3669,Apple Music
511,30,2024-09-25,13282,Apple Music
512,2,2024-07-02,5441,Apple Music
513,9,2024-08-14,9892,Spotify
514,5,2024-09-24,11582,Spotify
515,16,2024-07-13,4871,YouTube Music
516,21,2024-08-31,5080,YouTube Music
517,2,2024-09-01,10190,Deezer
518,12,2024-08-22,3155,Apple Music
519,20,2024-07-08,6592,Apple Music
520,16,2024-08-07,4892,Spotify
521,16,2024-09-17,2227,Deezer
522,6,2024-09-03,4397,Deezer
523,23,2024-06-13,205,Spotify
524,19,2024-09-24,2337,Deezer
525,2,2024-09-02,1068,Spotify
526,2,2024-08-12,12593,Spotify
527,24,2024-08-14,4799,YouTube Music
528,22,2024-09-28,4711,YouTube Music
529,21,2024-08-22,12159,Spotify
530,9,2024-09-29,14254,Deezer
531,22,2024-07-30,11539,Spotify
532,30,2024-07-04,13682,Deezer
533,7,2024-08-07,2701,Deezer
534,21,2024-06-14,5672,Deezer
535,15,2024-08-06,2183,Apple Music
536,9,2024-07-12,3915,Spotify
537,24,2024-08-26,4256,Apple Music
538,18,2024-08-21,6045,Deezer
539,19,2024-06-20,9077,Apple Music
540,23,2024-09-15,12093,YouTube Music
541,12,2024-07-27,12420,YouTube Music
542,22,2024-09-05,3835,Apple Music
543,25,2024-06-16,9671,Spotify
544,30,2024-09-21,9558,YouTube Music
545,2,2024-07-17,12888,Spotify
546,13,2024-06-13,12611,Deezer
547,28,2024-08-06,10515,YouTube Music
548,29,2024-06-03,10150,Spotify
549,16,2024-07-25,6930,Spotify
550,12,2024-06-11,1124,YouTube Music
551,6,2024-07-16,4186,Apple Music
552,15,2024-06-30,4613,YouTube Music
553,26,2024-09-20,10930,Spotify
554,22,2024-09-01,12030,Apple Music
555,4,2024-09-19,10678,Spotify
556,2,2024-08-29,3917,Apple Music
557,2,2024-06-28,14434,Deezer
558,23,2024-08-01,2647,Spotify
559,7,2024-07-31,14806,Deezer
560,12,2024-09-25,10634,Apple Music
561,17,2024-08-25,9749,Apple Music
562,14,2024-06-14,5449,Deezer
563,9,2024-08-20,14188,Spotify
564,5,2024-08-05,9427,YouTube Music
565,6,2024-07-19,12605,Deezer
566,26,2024-07-19,13973,Deezer
567,15,2024-08-06,4953,YouTube Music
568,3,2024-07-22,13931,Apple Music
569,29,2024-09-21,13640,Deezer
570,28,2024-09-26,230,Spotify
571,12,2024-08-17,12704,Apple Music
572,16,2024-09-21,11810,Spotify
573,21,2024-06-09,5409,Apple Music
574,24,2024-06-30,8924,YouTube Music
575,24,2024-09-25,3361,YouTube Music
576,9,2024-09-08,9209,YouTube Music
577,26,2024-06-23,8510,Spotify
578,28,2024-08-19,9307,Spotify
579,4,2024-09-04,13767,Apple Music
580,7,2024-08-16,1351,Spotify
581,7,2024-09-27,2397,Deezer
582,19,2024-06-04,12423,YouTube Music
583,12,2024-06-09,7238,YouTube Music
584,10,2024-09-23,457,Apple Music
585,30,2024-08-26,5165,Apple Music
586,30,2024-06-18,9066,YouTube Music
587,16,2024-09-21,2482,Spotify
588,19,2024-09-08,8702,Spotify
589,19,2024-08-19,5054,Spotify
590,26,2024-09-12,13659,Apple Music
591,1,2024-06-01,705,Deezer
592,7,2024-06-23,4907,Spotify
593,8,2024-06-16,931,YouTube Music
594,24,2024-06-03,3653,YouTube Music
595,14,2024-06-24,12889,Spotify
596,20,2024-08-22,13021,Deezer
597,23,2024-09-24,1525,YouTube Music
598,3,2024-07-02,4392,YouTube Music
599,24,2024-08-16,7225,Deezer
600,13,2024-09-23,5200,YouTube Music
601,13,2024-08-18,4778,Spotify
602,28,2024-06-14,4217,YouTube Music
603,20,2024-08-13,14353,Spotify
604,26,2024-06-26,9695,Deezer
605,8,2024-09-13,6597,Spotify
606,28,2024-07-20,14621,YouTube Music
607,16,2024-06-27,13354,Deezer
608,19,2024-06-28,1377,YouTube Music
609,23,2024-06-27,13304,Apple Music
610,29,2024-08-16,6006,Deezer
611,4,2024-06-22,7633,Apple Music
612,23,2024-09-23,13634,Apple Music
613,20,2024-08-07,1976,YouTube Music
614,19,2024-08-08,4892,Deezer
615,9,2024-06-24,11239,Spotify
616,13,2024-07-08,14750,Apple Music
617,6,2024-07-31,2460,Apple Music
618,15,2024-06-17,2257,YouTube Music
619,16,2024-09-29,13277,Apple Music
620,3,2024-07-14,12384,YouTube Music
621,9,2024-08-17,13145,Apple Music
622,16,2024-06-08,793,YouTube Music
623,19,2024-09-03,11118,Apple Music
624,2,2024-07-05,9909,YouTube Music
625,19,2024-06-11,8945,Apple Music
626,20,2024-08-02,10930,Spotify
627,23,2024-08-21,11203,Apple Music
628,18,2024-08-28,5200,Deezer
629,21,2024-08-14,5750,Deezer
630,20,2024-06-12,3935,YouTube Music
631,1,2024-08-27,5721,Spotify
632,24,2024-08-12,287,YouTube Music
633,21,2024-09-27,3144,Apple Music
634,12,2024-07-05,11974,Apple Music
635,27,2024-06-01,13129,Apple Music
636,15,2024-07-14,2267,Deezer
637,8,2024-08-10,7855,Spotify
638,12,2024-07-01,14029,Spotify
639,28,2024-06-25,11206,Apple Music
640,2,2024-09-21,10676,Deezer
641,14,2024-09-18,3895,Deezer
642,3,2024-09-10,13951,Apple Music
643,27,2024-08-31,8072,Spotify
644,20,2024-07-25,10036,Apple Music
645,17,2024-09-24,8987,Apple Music
646,10,2024-08-18,9099,Spotify
647,3,2024-07-21,2849,Deezer
648,27,2024-06-17,11290,Apple Music
649,22,2024-08-21,1967,Spotify
650,28,2024-09-13,10812,Deezer
651,12,2024-06-26,13452,YouTube Music
652,27,2024-08-07,12671,Spotify
653,12,2024-09-25,2403,Deezer
654,3,2024-07-11,9619,Spotify
655,18,2024-06-03,12837,YouTube Music
656,7,2024-09-24,10969,Apple Music
657,12,2024-09-04,13075,Spotify
658,22,2024-06-12,10949,YouTube Music
659,18,2024-07-05,11627,Apple Music
660,8,2024-08-02,13093,Deezer
661,3,2024-07-18,4215,Apple Music
662,20,2024-06-26,2499,Spotify
663,23,2024-09-15,10955,Deezer
664,15,2024-07-27,7678,Apple Music
665,8,2024-09-10,14002,Apple Music
666,2,2024-08-28,9098,YouTube Music
667,13,2024-08-12,13992,YouTube Music
668,9,2024-08-16,10100,YouTube Music
669,23,2024-08-01,773,Spotify
670,1,2024-07-06,2770,Deezer
671,27,2024-09-06,10275,Spotify
672,12,2024-08-21,10204,YouTube Music
673,18,2024-08-23,9536,Deezer
674,28,2024-09-11,6590,Apple Music
675,15,2024-06-23,8384,Apple Music
676,24,2024-07-06,8029,Apple Music
677,23,2024-07-06,4716,Spotify
678,25,2024-09-10,1959,Deezer
679,15,2024-08-15,4479,Deezer
680,6,2024-08-01,12644,Deezer
681,23,2024-08-15,6870,Apple Music
682,3,2024-09-15,1759,Spotify
683,14,2024-09-13,4990,Apple Music
684,30,2024-08-07,12650,Apple Music
685,3,2024-07-20,12876,Deezer
686,16,2024-06-21,14996,YouTube Music
687,4,2024-06-20,13657,Spotify
688,7,2024-06-28,1592,Apple Music
689,18,2024-08-07,2241,Apple Music
690,14,2024-08-26,14271,Deezer
691,2,2024-07-16,14934,Deezer
692,2,2024-07-16,13389,Spotify
693,26,2024-08-26,13695,Apple Music
694,17,2024-08-31,200,Spotify
695,23,2024-07-29,1597,Spotify
696,21,2024-06-08,14134,Apple Music
697,2,2024-08-06,12017,YouTube Music
698,1,2024-08-22,3295,Apple Music
699,13,2024-09-10,10681,Deezer
700,10,2024-09-17,14129,Spotify
701,21,2024-08-06,2619,Spotify
702,10,2024-08-07,8866,YouTube Music
703,21,2024-08-05,5360,Apple Music
704,11,2024-06-29,13874,Spotify
705,3,2024-08-01,1558,Apple Music
706,29,2024-06-07,1856,Deezer
707,16,2024-08-27,293,Apple Music
708,22,2024-07-02,14072,YouTube Music
